<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,,,,,,,,,,,,
10-Sep-18,103750,103900,103680,103900,,,,,,,,,,,,
10-Sep-18,103840,104120,103840,104120,,,,,,,,,,,,
10-Sep-18,104030,104030,103970,103970,,,,,,,,,,,,
10-Sep-18,103980,104000,103980,104000,,,,,,,,,,,,
10-Sep-18,104010,104220,104010,104220,,,,,,,,,,,,
10-Sep-18,104150,104150,104050,104050,,,,,,,,,,,,
10-Sep-18,104160,104200,104160,104200,,,,,,,,,,,,
10-Sep-18,104200,104250,104190,104230,,,,,,,,,,,,
10-Sep-18,104200,104200,104140,104140,,,,,,,,,,,,
10-Sep-18,104150,104290,104150,104220,,,,,,,,,,,,
10-Sep-18,104210,104210,104150,104150,,,,,,,,,,,,
10-Sep-18,104190,104220,104190,104200,,,,,,,,,,,,
10-Sep-18,104150,104150,104130,104130,,,,,,,,,,,,
10-Sep-18,104120,104120,104060,104060,,,,,,,,,,,,
10-Sep-18,104140,104150,104100,104120,,,,,,,,,,,,
10-Sep-18,104150,104150,104060,104060,,,,,,,,,,,,
10-Sep-18,104060,104120,104040,104120,,,,,,,,,,,,
10-Sep-18,104100,104120,104090,104110,,,,,,,,,,,,
10-Sep-18,104140,104140,104090,104120,,,,,,,,,,,,
10-Sep-18,104070,104070,104070,104070,,,,,,,,,,,,
10-Sep-18,104100,104130,104100,104100,,,,,,,,,,,,
10-Sep-18,104050,104080,104040,104080,,,,,,,,,,,,
10-Sep-18,104050,104100,104050,104100,,,,,,,,,,,,
10-Sep-18,104120,104170,104120,104160,,,,,,,,,,,,
10-Sep-18,104160,104160,104160,104160,,,,,,,,,,,,
10-Sep-18,104080,104170,104040,104050,,,,,,,,,,,,
10-Sep-18,104070,104100,104070,104070,,,,,,,,,,,,
10-Sep-18,104140,104160,104120,104160,,,,,,,,,,,,
10-Sep-18,104200,104200,104200,104200,,,,,,,,,,,,
10-Sep-18,104210,104210,104180,104180,,,,,,,,,,,,
10-Sep-18,104110,104140,104050,104140,,,,,,,,,,,,
10-Sep-18,104170,104200,104130,104130,,,,,,,,,,,,
10-Sep-18,104150,104160,104140,104150,,,,,,,,,,,,
10-Sep-18,104090,104110,104040,104040,,,,,,,,,,,,
10-Sep-18,104130,104150,104130,104150,,,,,,,,,,,,
10-Sep-18,104130,104130,104130,104130,,,,,,,,,,,,
10-Sep-18,104160,104180,104160,104180,,,,,,,,,,,,
10-Sep-18,104190,104200,104060,104060,,,,,,,,,,,,
